# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 559K of event 'cpu-clock'
# Event count (approx.): 139767000000
#
# Overhead  Command  Shared Object         Symbol                                       
# ........  .......  ....................  .............................................
#
     0.00%  ua.B.x   [kernel.kallsyms]     [k] e1000_alloc_rx_buffers
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_futex_key
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] GOMP_parallel
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019653
     0.00%  ua.B.x   ua.B.x                [.] calc_norm_._omp_fn.8
     0.00%  ua.B.x   [kernel.kallsyms]     [k] VbglR0GRPerform
     0.00%  ua.B.x   [kernel.kallsyms]     [k] do_futex
     0.00%  ua.B.x   ua.B.x                [.] do_coarsen_._omp_fn.2
     0.00%  ua.B.x   ua.B.x                [.] do_refine_._omp_fn.8
     0.00%  ua.B.x   [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%  ua.B.x   [kernel.kallsyms]     [k] get_page_from_freelist
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016dc5
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001965b
     0.00%  ua.B.x   [kernel.kallsyms]     [k] fpu__clear
     0.00%  ua.B.x   [kernel.kallsyms]     [k] handle_pte_fault
     0.00%  ua.B.x   [kernel.kallsyms]     [k] mem_cgroup_handle_over_high
     0.00%  ua.B.x   [kernel.kallsyms]     [k] restore_sigcontext
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] GOMP_barrier
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] omp_get_num_threads
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000193f7
     0.00%  ua.B.x   ua.B.x                [.] adaptation_._omp_fn.12
     0.00%  ua.B.x   ua.B.x                [.] check_refine_._omp_fn.9
     0.00%  ua.B.x   ua.B.x                [.] cos@plt
     0.00%  ua.B.x   ua.B.x                [.] mor_ne_
     0.00%  ua.B.x   ua.B.x                [.] transf_
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __handle_mm_fault
     0.00%  ua.B.x   [kernel.kallsyms]     [k] e1000_xmit_frame
     0.00%  ua.B.x   [kernel.kallsyms]     [k] rebalance_domains
     0.00%  ua.B.x   [kernel.kallsyms]     [k] run_timer_softirq
     0.00%  ua.B.x   [kernel.kallsyms]     [k] sys_rt_sigreturn
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000175b6
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019430
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001950c
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x000000000001952f
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000195e6
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000195eb
     0.00%  ua.B.x   libm-2.26.so          [.] __docos
     0.00%  ua.B.x   ua.B.x                [.] do_refine_._omp_fn.5
     0.00%  ua.B.x   ua.B.x                [.] icheck_
     0.00%  ua.B.x   ua.B.x                [.] merging_
     0.00%  ua.B.x   ua.B.x                [.] remapx_
     0.00%  ua.B.x   [kernel.kallsyms]     [k] copy_user_generic_string
     0.00%  ua.B.x   [kernel.kallsyms]     [k] do_signal
     0.00%  ua.B.x   [kernel.kallsyms]     [k] free_hot_cold_page
     0.00%  ua.B.x   [kernel.kallsyms]     [k] handle_mm_fault
     0.00%  ua.B.x   [kernel.kallsyms]     [k] hash_futex
     0.00%  ua.B.x   libc-2.26.so          [.] __restore_rt
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000018ca9
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000195ab
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019650
     0.00%  ua.B.x   ua.B.x                [.] diffusion_
     0.00%  ua.B.x   ua.B.x                [.] do_coarsen_._omp_fn.0
     0.00%  ua.B.x   ua.B.x                [.] nr_init_
     0.00%  ua.B.x   [kernel.kallsyms]     [k] __set_current_blocked
     0.00%  ua.B.x   [kernel.kallsyms]     [k] restore_altstack
     0.00%  ua.B.x   [kernel.kallsyms]     [k] try_charge
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] free@plt
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000016dce
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x00000000000181ea
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019633
     0.00%  ua.B.x   libgomp.so.1.0.0      [.] 0x0000000000019640
     0.00%  ua.B.x   ua.B.x                [.] do_refine_._omp_fn.6
     0.00%  ua.B.x   ua.B.x                [.] do_refine_._omp_fn.7
