Benchmark, Flags, Energy, Time
mg.D.x,-O0,41916210016,207.542084
mg.D.x,-O0,42577033031,205.813899
mg.D.x,-O0,42803678692,206.583441
ft.B.x,-O0,1299024751,6.405861
ft.B.x,-O0,1304476640,6.443389
ft.B.x,-O0,1312522031,6.483614
bt.C.x,-O0,27609179321,154.331606
bt.C.x,-O0,27440736881,152.010298
bt.C.x,-O0,27463833805,152.025412
lu.B.x,-O0,6650838199,36.525931
lu.B.x,-O0,6620966631,36.297807
lu.B.x,-O0,6624287669,36.371829
sp.B.x,-O0,6907453996,36.929928
sp.B.x,-O0,6893204948,36.596171
sp.B.x,-O0,6924565281,36.996265
ep.D.x,-O0,34104285495,192.150215
ep.D.x,-O0,33908068652,191.298919
ep.D.x,-O0,33602451697,191.353855
ua.B.x,-O0,5133968546,28.681343
ua.B.x,-O0,5115141630,28.343759
ua.B.x,-O0,5208663546,28.887599
is.B.x,-O0,91489145,0.564141
is.B.x,-O0,90616955,0.558733
is.B.x,-O0,90837108,0.560149
cg.C.x,-O0,4009371328,21.018252
cg.C.x,-O0,4118069657,21.722293
cg.C.x,-O0,4041685393,21.152459
mg.D.x,-O1,18621078611,92.299271
mg.D.x,-O1,18776979946,93.355694
mg.D.x,-O1,18598257503,91.947742
ft.B.x,-O1,577469042,2.732404
ft.B.x,-O1,578029222,2.727413
ft.B.x,-O1,580448771,2.738521
bt.C.x,-O1,8986578068,47.710196
bt.C.x,-O1,9061197018,48.640772
bt.C.x,-O1,8788523705,46.375165
lu.B.x,-O1,1684696493,8.80226
lu.B.x,-O1,1683250757,8.801194
lu.B.x,-O1,1663164627,8.648708
sp.B.x,-O1,2264959778,11.367115
sp.B.x,-O1,2354013382,11.968368
sp.B.x,-O1,2259589064,11.363905
ep.D.x,-O1,28494292594,155.842999
ep.D.x,-O1,28316923724,155.197681
ep.D.x,-O1,28287877656,154.963697
ua.B.x,-O1,1847962371,10.253884
ua.B.x,-O1,1834431462,10.149271
ua.B.x,-O1,1851905659,10.261811
is.B.x,-O1,60157927,0.382591
is.B.x,-O1,60121245,0.383649
is.B.x,-O1,59949187,0.382663
cg.C.x,-O1,2992384674,16.229149
cg.C.x,-O1,3021001544,16.409681
cg.C.x,-O1,3053665278,16.599078
mg.D.x,-O2,17840076460,93.638381
mg.D.x,-O2,17638204907,90.076809
mg.D.x,-O2,17628963538,89.608665
ft.B.x,-O2,534968112,2.600589
ft.B.x,-O2,535103854,2.594444
ft.B.x,-O2,535306185,2.596173
bt.C.x,-O2,9052692035,48.4619
bt.C.x,-O2,8902676367,47.588902
bt.C.x,-O2,8985176522,48.12552
lu.B.x,-O2,1581706400,8.236434
lu.B.x,-O2,1646539914,8.774959
lu.B.x,-O2,1604736858,8.36297
sp.B.x,-O2,2227594151,11.33754
sp.B.x,-O2,2323151584,12.050688
sp.B.x,-O2,2336567505,11.920484
ep.D.x,-O2,27408328516,150.077343
ep.D.x,-O2,27188351663,149.345399
ep.D.x,-O2,27265874413,149.662746
ua.B.x,-O2,1815610525,10.191203
ua.B.x,-O2,1818189986,10.161536
ua.B.x,-O2,1795713604,10.077599
is.B.x,-O2,59537384,0.383102
is.B.x,-O2,59502839,0.381751
is.B.x,-O2,59555694,0.381357
cg.C.x,-O2,3034964703,16.498945
cg.C.x,-O2,3021085528,16.386931
cg.C.x,-O2,3000660103,16.196803
mg.D.x,-O3,17613676466,91.990715
mg.D.x,-O3,17943084254,94.403352
mg.D.x,-O3,17949482248,94.766721
ft.B.x,-O3,528576405,2.558683
ft.B.x,-O3,534019262,2.596218
ft.B.x,-O3,532660563,2.595716
bt.C.x,-O3,9753659540,52.67378
bt.C.x,-O3,9639206525,52.432695
bt.C.x,-O3,9599794394,52.440771
lu.B.x,-O3,1542438007,8.138248
lu.B.x,-O3,1564300255,8.278543
lu.B.x,-O3,1516753136,7.979353
sp.B.x,-O3,2320723552,12.136806
sp.B.x,-O3,2163012285,11.068107
sp.B.x,-O3,2130682168,10.884676
ep.D.x,-O3,27468798942,150.159393
ep.D.x,-O3,27037897581,149.529875
ep.D.x,-O3,27305154342,150.376431
ua.B.x,-O3,1590141865,9.139801
ua.B.x,-O3,1580743268,9.075971
ua.B.x,-O3,1611257044,9.276308
is.B.x,-O3,59476654,0.382121
is.B.x,-O3,59428437,0.383057
is.B.x,-O3,59215424,0.382265
cg.C.x,-O3,2985818894,16.230715
cg.C.x,-O3,2993024443,16.225677
cg.C.x,-O3,3023728770,16.422682
