Benchmark,Flags,Energy,Time,Success
kdtree,-O1,591081609,4.32633,False
kdtree,-O1,603725940,4.447558,False
kdtree,-O1,601541934,4.394581,False
fma3d,-O1,1273271307,9.102315,False
fma3d,-O1,1195234572,8.855987,False
fma3d,-O1,1181376087,8.805357,False
md,-O1,222820920779,4768.300083,True
md,-O1,289065007536,4773.754565,True
md,-O1,223261973608,4770.991602,True
ilbdc,-O1,70300153459,437.982249,False
ilbdc,-O1,54939162756,329.198085,False
ilbdc,-O1,66639068184,411.476316,False
imagick,-O1,722680,0.008788,False
imagick,-O1,362139,0.004875,False
imagick,-O1,363818,0.004742,False
swim,-O1,947713451,4.197225,False
swim,-O1,948725236,4.181786,False
swim,-O1,948629168,4.178698,False
nab,-O1,436855,0.006446,False
nab,-O1,377642,0.004408,False
nab,-O1,367998,0.004807,False
botsalgn,-O1,149624732542,760.256641,True
botsalgn,-O1,149593799337,760.928532,True
botsalgn,-O1,149632979917,760.245934,True
smithwa,-O1,162002820,0.829693,False
smithwa,-O1,161590325,0.825455,False
smithwa,-O1,162376974,0.822192,False
botsspar,-O1,122831465,0.801087,False
botsspar,-O1,123915953,0.804643,False
botsspar,-O1,134222995,0.866656,False
