Benchmark,Flags,Energy,Time,Success
botsalgn,-O1,122203271,0.700879,True
botsalgn,-O1,119951055,0.681769,True
botsalgn,-O1,121924155,0.678299,True
botsspar,-O1,122368869,0.821265,True
botsspar,-O1,130228630,0.884467,True
botsspar,-O1,112893544,0.7583,True
bwaves,-O1,2002494052,15.163456,True
bwaves,-O1,1988072639,15.061978,True
bwaves,-O1,1991017277,15.087715,True
fma3d,-O1,1322238226,9.44471,True
fma3d,-O1,1169632777,8.848508,True
fma3d,-O1,1144648421,8.640583,True
ilbdc,-O1,52063968727,319.684474,True
ilbdc,-O1,64719924625,409.279553,True
ilbdc,-O1,52728870277,324.310588,True
imagick,-O1,797783001,4.314367,False
imagick,-O1,791972555,4.276866,False
imagick,-O1,793933998,4.277804,False
kdtree,-O1,618655009,4.642826,True
kdtree,-O1,617679521,4.621344,True
kdtree,-O1,613322613,4.518986,True
md,-O1,54383415820,328.537062,True
md,-O1,54431826368,328.404107,True
md,-O1,54494476010,328.550342,True
nab,-O1,544414,0.007307,False
nab,-O1,361706,0.004732,False
nab,-O1,369046,0.00492,False
smithwa,-O1,154592015,0.824773,True
smithwa,-O1,156546265,0.820602,True
smithwa,-O1,155856726,0.819544,True
swim,-O1,913307287,4.175907,True
swim,-O1,915656984,4.189008,True
swim,-O1,917421231,4.196358,True
botsalgn,-O2,95926029,0.547249,True
botsalgn,-O2,96221824,0.541784,True
botsalgn,-O2,97024929,0.546077,True
botsspar,-O2,144057124,0.982979,True
botsspar,-O2,137813391,0.930617,True
botsspar,-O2,140991541,0.950741,True
bwaves,-O2,2010499241,15.121884,True
bwaves,-O2,1999465340,15.111842,True
bwaves,-O2,1999744887,15.087729,True
fma3d,-O2,1260319632,9.186832,True
fma3d,-O2,1168476710,8.79861,True
fma3d,-O2,1164375344,8.834858,True
ilbdc,-O2,52198560005,320.230994,True
ilbdc,-O2,56549794252,351.166746,True
ilbdc,-O2,69829151644,447.360524,True
imagick,-O2,800857142,4.363316,False
imagick,-O2,793995146,4.293261,False
imagick,-O2,796209602,4.305187,False
kdtree,-O2,577824991,4.142737,True
kdtree,-O2,582569637,4.229858,True
kdtree,-O2,571764935,4.05028,True
md,-O2,53257432068,323.263007,True
md,-O2,53271383625,322.951205,True
md,-O2,53304291304,323.051038,True
nab,-O2,823468,0.010591,False
nab,-O2,325877,0.004428,False
nab,-O2,364805,0.005075,False
smithwa,-O2,127841667,0.690413,True
smithwa,-O2,129071731,0.684331,True
smithwa,-O2,127702671,0.681688,True
swim,-O2,894952869,4.153317,True
swim,-O2,897268005,4.163775,True
swim,-O2,898049692,4.158263,True
botsalgn,-O3,104611301,0.595084,True
botsalgn,-O3,105410976,0.588123,True
botsalgn,-O3,104675400,0.590445,True
botsspar,-O3,139503311,0.952899,True
botsspar,-O3,139854413,0.945065,True
botsspar,-O3,130034741,0.873341,True
bwaves,-O3,2017708643,15.113934,True
bwaves,-O3,1997629913,15.094863,True
bwaves,-O3,1998293781,15.089019,True
fma3d,-O3,1195530645,8.938636,True
fma3d,-O3,1207703913,8.89831,True
fma3d,-O3,1128830192,8.598983,True
ilbdc,-O3,52993091724,326.240298,True
ilbdc,-O3,52617608739,323.471167,True
ilbdc,-O3,53240490343,328.032246,True
imagick,-O3,795274880,4.300209,False
imagick,-O3,806984243,4.438098,False
imagick,-O3,795487759,4.292794,False
kdtree,-O3,577023818,4.21384,True
kdtree,-O3,551200409,3.900351,True
kdtree,-O3,569540909,4.159475,True
md,-O3,42798389696,262.785983,True
md,-O3,42784335952,262.410659,True
md,-O3,42860704646,262.635394,True
nab,-O3,470816,0.006382,False
nab,-O3,386961,0.005076,False
nab,-O3,296990,0.004391,False
smithwa,-O3,127814472,0.681717,True
smithwa,-O3,129567622,0.680801,True
smithwa,-O3,129464475,0.686339,True
swim,-O3,911439520,4.321826,True
swim,-O3,882010543,4.134864,True
swim,-O3,880477208,4.119503,True
