Benchmark,NumThreads,Energy,Time,Success,RunId
LU.C,1,36305213403,494.913533,True,0
LU.C,1,36255262254,494.440576,True,0
LU.C,1,36188513537,494.547253,True,0
LU.C,1,36198786663,494.59264,True,0
LU.C,1,36180130057,494.11527,True,0
LU.C,2,20213833846,249.964888,True,1
LU.C,2,20381583286,250.097489,True,1
LU.C,2,20479886606,251.161305,True,1
LU.C,2,20449706786,250.888142,True,1
LU.C,2,20532889583,251.257871,True,1
LU.C,3,15392069672,178.652131,True,2
LU.C,3,15453528477,178.828823,True,2
LU.C,3,15529666596,179.673121,True,2
LU.C,3,15534552205,179.23941,True,2
LU.C,3,15505805881,179.161366,True,2
LU.C,4,12710001018,138.222034,True,3
LU.C,4,12718394613,138.574766,True,3
LU.C,4,12708287377,138.138065,True,3
LU.C,4,12679216884,137.786224,True,3
LU.C,4,12675539291,137.818035,True,3
LU.C,5,10974879297,114.827021,True,4
LU.C,5,11012207043,114.727507,True,4
LU.C,5,10968326918,114.716724,True,4
LU.C,5,11091197801,114.702179,True,4
LU.C,5,11001965039,114.698914,True,4
LU.C,6,9942367936,98.087101,True,5
LU.C,6,10023351672,98.083043,True,5
LU.C,6,9951462872,98.062705,True,5
LU.C,6,9979776286,98.035787,True,5
LU.C,6,9967243304,97.966041,True,5
LU.C,7,9077813237,84.920969,True,6
LU.C,7,9110639185,85.008735,True,6
LU.C,7,9119220769,84.999976,True,6
LU.C,7,9108825154,85.127561,True,6
LU.C,7,9069626071,84.922701,True,6
LU.C,8,8409818760,75.176443,True,7
LU.C,8,8460763332,75.185224,True,7
LU.C,8,8487626504,75.218703,True,7
LU.C,8,8456634615,75.130843,True,7
LU.C,8,8487469670,75.17086,True,7
LU.C,9,8096557489,68.559658,True,8
LU.C,9,8120913143,68.502796,True,8
LU.C,9,8131317406,68.587047,True,8
LU.C,9,8140531411,68.593774,True,8
LU.C,9,8135812323,68.552679,True,8
LU.C,10,7785066583,62.175868,True,9
LU.C,10,7698796895,62.148046,True,9
LU.C,10,7731807855,62.222761,True,9
LU.C,10,7698697923,62.210765,True,9
LU.C,10,7699537363,62.281013,True,9
LU.C,11,7580525254,58.859212,True,10
LU.C,11,7562433893,58.865268,True,10
LU.C,11,7578685731,58.811083,True,10
LU.C,11,7570917444,58.914623,True,10
LU.C,11,7538611594,58.890074,True,10
LU.C,12,7406268962,55.696589,True,11
LU.C,12,7438467177,55.790156,True,11
LU.C,12,7436536481,55.832442,True,11
LU.C,12,7431620141,55.619767,True,11
LU.C,12,7424221338,55.760664,True,11
LU.C,13,7322846286,52.829826,True,12
LU.C,13,7395404006,52.655612,True,12
LU.C,13,7329852460,52.715453,True,12
LU.C,13,7396317183,52.675806,True,12
LU.C,13,7302074119,52.72261,True,12
LU.C,14,7150112169,49.588167,True,13
LU.C,14,7212414037,49.766762,True,13
LU.C,14,7129570616,49.681376,True,13
LU.C,14,7100418137,49.728913,True,13
LU.C,14,7120033574,49.700557,True,13
LU.C,15,7648133016,46.553766,True,14
LU.C,15,7659876866,46.406283,True,14
LU.C,15,7675259085,46.489821,True,14
LU.C,15,7636245003,46.215972,True,14
LU.C,15,7628275355,46.283249,True,14
LU.C,16,7475158826,43.373664,True,15
LU.C,16,7428804596,43.049278,True,15
LU.C,16,7443233897,43.093915,True,15
LU.C,16,7566104438,43.869399,True,15
LU.C,16,7449405279,43.063917,True,15
LU.C,17,7503649974,42.843331,True,16
LU.C,17,7451118721,42.459723,True,16
LU.C,17,7537192775,43.025914,True,16
LU.C,17,7701619946,44.193106,True,16
LU.C,17,7620542481,43.563568,True,16
LU.C,18,7275726078,40.215625,True,17
LU.C,18,7367727427,40.955626,True,17
LU.C,18,7444912138,41.463499,True,17
LU.C,18,7323794872,40.683213,True,17
LU.C,18,7335846686,40.687735,True,17
LU.C,19,7252916954,39.554267,True,18
LU.C,19,7342894488,40.124974,True,18
LU.C,19,7202968359,39.084495,True,18
LU.C,19,7414105016,40.53011,True,18
LU.C,19,7193107502,38.946685,True,18
LU.C,20,7172415429,37.693051,True,19
LU.C,20,6939579582,36.203287,True,19
LU.C,20,6911136551,35.95813,True,19
LU.C,20,7022865972,36.6841,True,19
LU.C,20,6896818633,35.909509,True,19
LU.C,21,6992370535,35.856647,True,20
LU.C,21,6926024662,35.356969,True,20
LU.C,21,7024516713,36.134445,True,20
LU.C,21,7223007841,37.157868,True,20
LU.C,21,7124566834,36.698792,True,20
LU.C,22,7263137838,37.021784,True,21
LU.C,22,7299142557,37.138818,True,21
LU.C,22,7004936265,35.192147,True,21
LU.C,22,7277796303,36.851713,True,21
LU.C,22,7158308601,36.063015,True,21
LU.C,23,6884271101,33.381517,True,22
LU.C,23,6696351093,32.108017,True,22
LU.C,23,6581627978,31.412983,True,22
LU.C,23,6565013245,31.291828,True,22
LU.C,23,6775368336,32.680786,True,22
LU.C,24,6807185398,32.423577,True,23
LU.C,24,6627603672,31.177016,True,23
LU.C,24,6686291865,31.595256,True,23
LU.C,24,6806339830,32.249328,True,23
LU.C,24,7125479239,34.222614,True,23
LU.C,25,6866428691,31.841031,True,24
LU.C,25,6794725680,31.317071,True,24
LU.C,25,6973392596,32.418508,True,24
LU.C,25,7368150581,34.962854,True,24
LU.C,25,6767436409,31.316148,True,24
LU.C,26,7076750848,32.455553,True,25
LU.C,26,7017352557,32.059437,True,25
LU.C,26,7244877878,33.580521,True,25
LU.C,26,6812013836,30.982088,True,25
LU.C,26,6877459906,31.367953,True,25
LU.C,27,6474241062,28.012994,True,26
LU.C,27,6538541316,28.434855,True,26
LU.C,27,6503985027,28.246633,True,26
LU.C,27,6608736801,28.773571,True,26
LU.C,27,6782171428,29.722102,True,26
MG.D,1,69451189446,887.594295,True,0
MG.D,1,69139898931,888.435139,True,0
MG.D,1,69183757807,889.639986,True,0
MG.D,1,69465294463,893.959131,True,0
MG.D,1,69342275406,893.255166,True,0
MG.D,2,42262144471,476.997156,True,1
MG.D,2,42402276998,477.163658,True,1
MG.D,2,42429784839,476.70002,True,1
MG.D,2,42406314799,476.419327,True,1
MG.D,2,42599028607,478.262767,True,1
MG.D,3,33413606620,344.824689,True,2
MG.D,3,33385882397,344.026268,True,2
MG.D,3,33412378737,344.110333,True,2
MG.D,3,33418341307,344.167407,True,2
MG.D,3,33342776946,345.167574,True,2
MG.D,4,28469211895,273.206868,True,3
MG.D,4,28449735273,272.789921,True,3
MG.D,4,28475713568,273.41694,True,3
MG.D,4,28546368715,273.864478,True,3
MG.D,4,28440837190,272.386021,True,3
MG.D,5,25710394853,233.500539,True,4
MG.D,5,25531289728,232.21609,True,4
MG.D,5,25452165576,232.504319,True,4
MG.D,5,25500344050,232.294265,True,4
MG.D,5,25614790819,232.430703,True,4
MG.D,6,24161518418,208.660681,True,5
MG.D,6,24176565674,208.793255,True,5
MG.D,6,24135198542,208.108275,True,5
