Benchmark, Flags, Energy, Time, Success
mg.D.x,-O0,48543915137,215.95285,true
mg.D.x,-O0,48867905567,212.181919,true
mg.D.x,-O0,49043913249,211.651091,true
ft.B.x,-O0,1469774467,6.796704,true
ft.B.x,-O0,1474405838,6.771554,true
ft.B.x,-O0,1466434383,6.787017,true
bt.C.x,-O0,788009,0.006806,false
bt.C.x,-O0,2040779,0.018418,false
bt.C.x,-O0,595176,0.004783,false
lu.B.x,-O0,513252,0.004352,false
lu.B.x,-O0,342054,0.003118,false
lu.B.x,-O0,341473,0.003175,false
sp.B.x,-O0,2214438,0.01977,false
sp.B.x,-O0,1965185,0.017389,false
sp.B.x,-O0,14143104,0.138977,false
ep.D.x,-O0,37032408073,196.132986,true
ep.D.x,-O0,37048364797,195.785785,true
ep.D.x,-O0,37158042288,196.084701,true
ua.B.x,-O0,895995,0.007418,false
ua.B.x,-O0,480689,0.004613,false
ua.B.x,-O0,588272,0.004686,false
is.B.x,-O0,99674220,0.564832,true
is.B.x,-O0,100429204,0.568828,true
is.B.x,-O0,100652889,0.567702,true
cg.C.x,-O0,2353509,0.023153,false
cg.C.x,-O0,13457750,0.128393,false
cg.C.x,-O0,317332,0.003191,false
mg.D.x,-O1,21566415255,89.121028,true
mg.D.x,-O1,22158301792,92.667567,true
mg.D.x,-O1,22050371420,91.868962,true
ft.B.x,-O1,659009187,2.783612,true
ft.B.x,-O1,646603699,2.686503,true
ft.B.x,-O1,660377900,2.792478,true
bt.C.x,-O1,9829517083,45.747095,true
bt.C.x,-O1,10010652019,47.42799,true
bt.C.x,-O1,9759912020,45.461806,true
lu.B.x,-O1,1811162622,8.203488,true
lu.B.x,-O1,1828483406,8.303518,true
lu.B.x,-O1,1854498877,8.464625,true
sp.B.x,-O1,2554145512,10.961818,true
sp.B.x,-O1,2596672589,11.178724,true
sp.B.x,-O1,2650938346,11.455967,true
ep.D.x,-O1,31010664674,162.254087,true
ep.D.x,-O1,30942960604,161.822602,true
ep.D.x,-O1,30858486867,162.411135,true
ua.B.x,-O1,2020654285,10.186391,true
ua.B.x,-O1,2060292565,10.370409,true
ua.B.x,-O1,2070743834,10.409001,true
is.B.x,-O1,68104387,0.387754,true
is.B.x,-O1,67967866,0.388137,true
is.B.x,-O1,67564844,0.385459,true
cg.C.x,-O1,3568098845,16.975448,true
cg.C.x,-O1,3544451980,16.80651,true
cg.C.x,-O1,3656382599,17.48619,true
mg.D.x,-O2,21719676412,95.713841,true
mg.D.x,-O2,21899138895,96.291293,true
mg.D.x,-O2,21842948116,95.981364,true
ft.B.x,-O2,611202856,2.654356,true
ft.B.x,-O2,617327357,2.663398,true
ft.B.x,-O2,616353093,2.682869,true
bt.C.x,-O2,9629710940,44.867988,true
bt.C.x,-O2,9661548044,45.223216,true
bt.C.x,-O2,9773767410,46.002499,true
lu.B.x,-O2,1817196353,8.382221,true
lu.B.x,-O2,1883304191,8.88202,true
lu.B.x,-O2,1847783114,8.642021,true
sp.B.x,-O2,2561521525,11.036042,true
sp.B.x,-O2,2645075114,11.609732,true
sp.B.x,-O2,2651094675,11.648647,true
ep.D.x,-O2,29908509243,156.338383,true
ep.D.x,-O2,30025368260,156.597923,true
ep.D.x,-O2,29888103486,155.972882,true
ua.B.x,-O2,1946694740,9.756003,true
ua.B.x,-O2,1961886428,9.886552,true
ua.B.x,-O2,1945772170,9.711092,true
is.B.x,-O2,67402286,0.386177,true
is.B.x,-O2,67529103,0.387385,true
is.B.x,-O2,64920625,0.369319,true
cg.C.x,-O2,3387855922,15.908331,true
cg.C.x,-O2,3424530695,16.158914,true
cg.C.x,-O2,3510700539,16.703252,true
mg.D.x,-O3,20729322774,91.271488,true
mg.D.x,-O3,21237812590,94.716438,true
mg.D.x,-O3,21272054800,95.203617,true
ft.B.x,-O3,611366299,2.677319,true
ft.B.x,-O3,619775751,2.706143,true
ft.B.x,-O3,612413138,2.665971,true
bt.C.x,-O3,10417303347,50.532935,true
bt.C.x,-O3,10633767610,51.811177,true
bt.C.x,-O3,10685149615,51.787688,true
lu.B.x,-O3,1709914267,7.872829,true
lu.B.x,-O3,1706257173,7.805289,true
lu.B.x,-O3,1802318462,8.492313,true
sp.B.x,-O3,2501798314,10.930321,true
sp.B.x,-O3,2426412456,10.65261,true
sp.B.x,-O3,2570072985,11.312118,true
ep.D.x,-O3,30177693992,156.684088,true
ep.D.x,-O3,29977481895,156.732786,true
ep.D.x,-O3,30058753082,157.055773,true
ua.B.x,-O3,1729707515,8.891732,true
ua.B.x,-O3,1728426311,8.801115,true
ua.B.x,-O3,1701299989,8.66555,true
is.B.x,-O3,67264024,0.383892,true
is.B.x,-O3,68444398,0.39364,true
is.B.x,-O3,68490599,0.393533,true
cg.C.x,-O3,3682692540,17.984525,true
cg.C.x,-O3,3441112587,16.252003,true
cg.C.x,-O3,3481087870,16.463534,true
