# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 492K of event 'cpu-clock'
# Event count (approx.): 123225000000
#
# Overhead  Command  Shared Object      Symbol                                       
# ........  .......  .................  .............................................
#
     0.00%  lu.B.x   lu.B.x             [.] pintgr_._omp_fn.0
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __dec_node_state
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __dev_queue_xmit
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __lru_cache_add
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __pv_queued_spin_lock_slowpath
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __schedule
     0.00%  lu.B.x   [kernel.kallsyms]  [k] __sg_free_table
     0.00%  lu.B.x   [kernel.kallsyms]  [k] aa_free_task_context
     0.00%  lu.B.x   [kernel.kallsyms]  [k] call_timer_fn
     0.00%  lu.B.x   [kernel.kallsyms]  [k] dec_zone_page_state
     0.00%  lu.B.x   [kernel.kallsyms]  [k] free_hot_cold_page_list
     0.00%  lu.B.x   [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%  lu.B.x   [kernel.kallsyms]  [k] free_uid
     0.00%  lu.B.x   [kernel.kallsyms]  [k] get_futex_key
     0.00%  lu.B.x   [kernel.kallsyms]  [k] mem_cgroup_from_task
     0.00%  lu.B.x   [kernel.kallsyms]  [k] memcpy
     0.00%  lu.B.x   [kernel.kallsyms]  [k] memset
     0.00%  lu.B.x   [kernel.kallsyms]  [k] mm_update_next_owner
     0.00%  lu.B.x   [kernel.kallsyms]  [k] page_remove_rmap
     0.00%  lu.B.x   [kernel.kallsyms]  [k] pmd_devmap_trans_unstable
     0.00%  lu.B.x   [kernel.kallsyms]  [k] queue_work_on
     0.00%  lu.B.x   [kernel.kallsyms]  [k] release_pages
     0.00%  lu.B.x   libc-2.26.so       [.] __strlen_avx2
     0.00%  lu.B.x   libgomp.so.1.0.0   [.] 0x0000000000016dc5
     0.00%  lu.B.x   lu.B.x             [.] GOMP_barrier@plt
     0.00%  lu.B.x   lu.B.x             [.] omp_get_num_threads@plt


#
# (Cannot load tips.txt file, please install perf!)
#
