Optimisation,O0,O1,O2,O3,,
  -fipa-ra                    ,[disabled],[disabled],[enabled],[enabled],,"'-fipa-ra',"
  -fipa-reference             ,[disabled],[enabled],[enabled],[enabled],,"'-fipa-reference',"
  -fipa-sra                   ,[disabled],[disabled],[enabled],[enabled],,"'-fipa-sra',"
  -fipa-vrp                   ,[disabled],[disabled],[enabled],[enabled],,"'-fipa-vrp',"
  -fira-hoist-pressure        ,[enabled],[enabled],[enabled],[enabled],,"'-fira-hoist-pressure',"
  -fira-loop-pressure         ,[disabled],[disabled],[disabled],[disabled],,"'-fira-loop-pressure',"
  -fira-share-save-slots      ,[enabled],[enabled],[enabled],[enabled],,"'-fira-share-save-slots',"
  -fira-share-spill-slots     ,[enabled],[enabled],[enabled],[enabled],,"'-fira-share-spill-slots',"
  -fisolate-erroneous-paths-attribute ,[disabled],[disabled],[disabled],[disabled],,"'-fisolate-erroneous-paths-attribute',"
  -fisolate-erroneous-paths-dereference ,[disabled],[disabled],[enabled],[enabled],,"'-fisolate-erroneous-paths-dereference',"
  -fivopts                    ,[enabled],[enabled],[enabled],[enabled],,"'-fivopts',"
  -fjump-tables               ,[enabled],[enabled],[enabled],[enabled],,"'-fjump-tables',"
  -fkeep-gc-roots-live        ,[disabled],[disabled],[disabled],[disabled],,"'-fkeep-gc-roots-live',"
  -flimit-function-alignment  ,[disabled],[disabled],[disabled],[disabled],,"'-flimit-function-alignment',"
  -flive-range-shrinkage      ,[disabled],[disabled],[disabled],[disabled],,"'-flive-range-shrinkage',"
  -floop-nest-optimize        ,[disabled],[disabled],[disabled],[disabled],,"'-floop-nest-optimize',"
  -floop-parallelize-all      ,[disabled],[disabled],[disabled],[disabled],,"'-floop-parallelize-all',"
  -flra-remat                 ,[disabled],[disabled],[enabled],[enabled],,"'-flra-remat',"
  -fmodulo-sched              ,[disabled],[disabled],[disabled],[disabled],,"'-fmodulo-sched',"
  -fmodulo-sched-allow-regmoves ,[disabled],[disabled],[disabled],[disabled],,"'-fmodulo-sched-allow-regmoves',"
  -fmove-loop-invariants      ,[disabled],[enabled],[enabled],[enabled],,"'-fmove-loop-invariants',"
  -fnon-call-exceptions       ,[disabled],[disabled],[disabled],[disabled],,"'-fnon-call-exceptions',"
  -fnothrow-opt               ,[disabled],[disabled],[disabled],[disabled],,"'-fnothrow-opt',"
  -fomit-frame-pointer        ,[disabled],[disabled],[disabled],[disabled],,"'-fomit-frame-pointer',"
