# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 199K of event 'cpu-clock'
# Event count (approx.): 49985250000
#
# Overhead  Command  Shared Object      Symbol                    
# ........  .......  .................  ..........................
#
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64999c2
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64b3d40
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c2b56
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c2c76
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c2e58
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c2ea0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c31cd
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c324a
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c3252
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c33ab
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c3842
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c4080
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64c4724
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64d7658
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb64d7b74
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6500f11
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65137cd
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6516ca0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c5814
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c5d2d
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c60b2
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c60e7
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c629f
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c6a15
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c6a21
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c6a52
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c6a77
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c6a8b
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c7df0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c7e0d
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65c7f5a
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65cf9a0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65cfd79
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65cfe4b
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65d0797
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65e2997
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65e419c
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65e41b7
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f5b53
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f5b54
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f9973
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f9cad
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f9d01
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65f9d92
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65fa8cb
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65fa8e8
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65faa5c
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65facc6
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb65faccb
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb660788c
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb660837d
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6608565
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb66105f5
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb663fc45
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6640bf0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6641d6d
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6642181
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6644021
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb664694b
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb66469ab
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb66513c1
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb669f5ac
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb67230e3
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6875470
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6cfca0c
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d0c39a
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d0c8d0
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d0c8ff
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6d0e41b
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6e00358
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb6e00380
     0.00%  cg.B.x   [kernel.kallsyms]  [k] 0xffffffffb7000114
     0.00%  cg.B.x   cg.B.x             [.] GOMP_barrier@plt
     0.00%  cg.B.x   cg.B.x             [.] MAIN__._omp_fn.2
     0.00%  cg.B.x   libc-2.26.so       [.] __restore_rt
     0.00%  cg.B.x   libc-2.26.so       [.] printf_positional
     0.00%  cg.B.x   libgomp.so.1.0.0   [.] 0x0000000000019370
     0.00%  cg.B.x   libgomp.so.1.0.0   [.] 0x000000000001952f


#
# (Cannot load tips.txt file, please install perf!)
#
