# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 146K of event 'cpu-clock'
# Event count (approx.): 36516250000
#
# Overhead  Command  Shared Object      Symbol                                       
# ........  .......  .................  .............................................
#
     0.00%  ft.B.x   [kernel.kallsyms]  [k] __fget_light
     0.00%  ft.B.x   [kernel.kallsyms]  [k] _copy_from_user
     0.00%  ft.B.x   [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  ft.B.x   [kernel.kallsyms]  [k] cpumask_next_and
     0.00%  ft.B.x   [kernel.kallsyms]  [k] do_sigaltstack
     0.00%  ft.B.x   [kernel.kallsyms]  [k] do_syscall_64
     0.00%  ft.B.x   [kernel.kallsyms]  [k] enter_lazy_tlb
     0.00%  ft.B.x   [kernel.kallsyms]  [k] find_busiest_group
     0.00%  ft.B.x   [kernel.kallsyms]  [k] find_first_bit
     0.00%  ft.B.x   [kernel.kallsyms]  [k] fpu__activate_curr
     0.00%  ft.B.x   [kernel.kallsyms]  [k] get_signal
     0.00%  ft.B.x   [kernel.kallsyms]  [k] get_vma_policy.part.32
     0.00%  ft.B.x   [kernel.kallsyms]  [k] hash_futex
     0.00%  ft.B.x   [kernel.kallsyms]  [k] is_vma_temporary_stack
     0.00%  ft.B.x   [kernel.kallsyms]  [k] memset
     0.00%  ft.B.x   [kernel.kallsyms]  [k] native_set_pte_at
     0.00%  ft.B.x   [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.00%  ft.B.x   [kernel.kallsyms]  [k] pmd_devmap_trans_unstable
     0.00%  ft.B.x   [kernel.kallsyms]  [k] pte_alloc_one
     0.00%  ft.B.x   [kernel.kallsyms]  [k] put_cpu_partial
     0.00%  ft.B.x   [kernel.kallsyms]  [k] restore_altstack
     0.00%  ft.B.x   [kernel.kallsyms]  [k] sync_mm_rss
     0.00%  ft.B.x   libgcc_s.so.1      [.] __cpu_indicator_init
     0.00%  ft.B.x   libgomp.so.1.0.0   [.] 0x00000000000195ab
     0.00%  ft.B.x   libgomp.so.1.0.0   [.] 0x0000000000019650
     0.00%  ft.B.x   libm-2.26.so       [.] __cos_avx


#
# (Cannot load tips.txt file, please install perf!)
#
