Benchmark,Flags,Energy,Time,Success
tpacf,-O1,2334879118,17.634048,True
tpacf,-O1,2177553590,14.683152,True
tpacf,-O1,2148692873,14.331686,True
tpacf,-O1,2026485624,13.401987,True
tpacf,-O1,2155896595,14.207911,True
tpacf,-O1,2000271378,13.10514,True
tpacf,-O1,2266502365,14.893734,True
tpacf,-O1,2106418396,13.805813,True
tpacf,-O1,2243182690,14.704503,True
tpacf,-O1,2091350347,13.656335,True
stencil,-O1,1265245690,8.377401,True
stencil,-O1,1316627428,8.501942,True
stencil,-O1,1144100728,7.203173,True
stencil,-O1,1283827431,8.272398,True
stencil,-O1,1220700926,7.889787,True
stencil,-O1,1320778880,8.569977,True
stencil,-O1,1258882203,8.136517,True
stencil,-O1,1222481522,7.822822,True
stencil,-O1,1287359675,8.325275,True
stencil,-O1,1422744177,9.598333,True
lbm,-O1,7566866495,34.75842,True
lbm,-O1,7507955731,34.03253,True
lbm,-O1,7761310169,35.441342,True
lbm,-O1,7610071601,34.405997,True
lbm,-O1,7691428316,34.698823,True
lbm,-O1,7607909710,34.089334,True
lbm,-O1,7648572647,34.125405,True
lbm,-O1,7605856563,34.154944,True
lbm,-O1,7597582606,33.97073,True
lbm,-O1,7551487036,33.737468,True
bfs,-O1,1911441914,13.685626,True
bfs,-O1,2002765925,14.261621,True
bfs,-O1,1940245923,14.058877,True
bfs,-O1,1960498294,14.207492,True
bfs,-O1,1849852744,13.566623,True
bfs,-O1,1992406323,14.394996,True
bfs,-O1,1947632982,14.139345,True
bfs,-O1,1920445274,13.994183,True
bfs,-O1,1893865900,13.750316,True
bfs,-O1,2003201945,14.433642,True
histo,-O1,4158644106,29.013954,True
histo,-O1,4106046800,28.371798,True
histo,-O1,4133323057,28.482069,True
histo,-O1,4412656375,30.309868,True
histo,-O1,4099910687,28.422018,True
histo,-O1,4290600065,29.674744,True
histo,-O1,4320458434,30.061316,True
histo,-O1,3991845900,27.71901,True
histo,-O1,2969828718,22.503615,True
histo,-O1,3077603717,23.046236,True
mri-gridding,-O1,8967034405,60.338126,True
mri-gridding,-O1,8970404350,60.221577,True
mri-gridding,-O1,9042382952,60.446233,True
mri-gridding,-O1,8838325109,59.189302,True
mri-gridding,-O1,8977438832,60.061296,True
mri-gridding,-O1,8307307572,56.342167,True
mri-gridding,-O1,8526312530,57.466863,True
mri-gridding,-O1,8981485372,60.796176,True
mri-gridding,-O1,8351738725,56.297022,True
mri-gridding,-O1,8006621007,54.037808,True
tpacf,-O2,1993899842,13.046394,True
tpacf,-O2,1945164066,12.694711,True
tpacf,-O2,2143929113,14.021743,True
tpacf,-O2,1943967952,12.68192,True
tpacf,-O2,2077488102,13.594594,True
tpacf,-O2,1979892721,12.889401,True
tpacf,-O2,2054208170,13.39177,True
tpacf,-O2,2134967597,14.067433,True
tpacf,-O2,2109448347,13.784857,True
tpacf,-O2,2098141223,13.670035,True
stencil,-O2,1306944109,8.321121,True
stencil,-O2,1171861523,7.413854,True
stencil,-O2,1283125022,8.233879,True
stencil,-O2,1274626542,8.130941,True
stencil,-O2,1233297346,7.96599,True
stencil,-O2,1164783207,7.35008,True
stencil,-O2,1448615991,9.463283,True
stencil,-O2,1270403238,8.359313,True
stencil,-O2,1144902040,7.031,True
stencil,-O2,1429543978,9.275792,True
lbm,-O2,7417647380,34.363561,True
lbm,-O2,7409932543,34.1664,True
lbm,-O2,7458582066,34.311667,True
lbm,-O2,7444061557,34.134555,True
lbm,-O2,7354426927,33.574459,True
lbm,-O2,7552409146,34.717404,True
lbm,-O2,7570300980,34.624188,True
lbm,-O2,7678702038,35.026204,True
lbm,-O2,7478853579,34.014287,True
lbm,-O2,7483143628,33.963134,True
bfs,-O2,1935645583,13.833491,True
bfs,-O2,1886576928,13.630098,True
bfs,-O2,1911698788,13.848618,True
bfs,-O2,1914069398,13.946632,True
bfs,-O2,1912325581,13.94407,True
bfs,-O2,1876769152,13.677822,True
bfs,-O2,1911938290,13.852014,True
bfs,-O2,1926071950,13.958883,True
bfs,-O2,1856869009,13.58235,True
bfs,-O2,1923531090,13.982255,True
histo,-O2,3613116049,26.062153,True
histo,-O2,2813237333,21.387721,True
histo,-O2,2860077574,21.686045,True
histo,-O2,3780039919,27.0087,True
histo,-O2,2893685368,21.900618,True
histo,-O2,3196910103,23.710885,True
histo,-O2,3148845171,23.358,True
histo,-O2,3570920606,25.874003,True
histo,-O2,3812530031,27.073836,True
histo,-O2,3107637006,23.185705,True
mri-gridding,-O2,8554128848,58.017116,True
mri-gridding,-O2,8020954777,54.277807,True
mri-gridding,-O2,8708928653,58.984069,True
mri-gridding,-O2,8694769969,58.776721,True
mri-gridding,-O2,8269243244,55.729374,True
mri-gridding,-O2,8526611962,57.275186,True
mri-gridding,-O2,8743253625,58.822318,True
mri-gridding,-O2,8508702840,57.248951,True
mri-gridding,-O2,8691697455,58.738575,True
mri-gridding,-O2,8793397432,59.118969,True
tpacf,-O3,2106499532,13.777568,True
tpacf,-O3,2057786157,13.442405,True
tpacf,-O3,2066516128,13.477534,True
tpacf,-O3,2028399363,13.238792,True
tpacf,-O3,2004767073,13.091189,True
tpacf,-O3,2097347731,13.693781,True
tpacf,-O3,2138956604,14.066,True
tpacf,-O3,2130695764,13.889562,True
tpacf,-O3,2140018997,13.952365,True
tpacf,-O3,2150469871,14.030584,True
stencil,-O3,1219391004,7.796269,True
stencil,-O3,1414205355,9.218822,True
stencil,-O3,1250171247,7.852805,True
stencil,-O3,1114168936,6.99158,True
stencil,-O3,1405856398,9.038881,True
stencil,-O3,1288061130,8.175092,True
stencil,-O3,1165124891,7.546875,True
stencil,-O3,1184768642,7.658549,True
stencil,-O3,1163984567,7.395416,True
stencil,-O3,1140413690,7.327091,True
lbm,-O3,7375790561,34.168202,True
lbm,-O3,7450733696,34.369781,True
lbm,-O3,7523571962,34.777267,True
lbm,-O3,7498457921,34.485757,True
lbm,-O3,7519310074,34.445976,True
lbm,-O3,7498858915,34.343828,True
lbm,-O3,7753865079,35.772122,True
lbm,-O3,7545626116,34.312305,True
lbm,-O3,7521496587,34.261814,True
lbm,-O3,7495358587,34.126519,True
bfs,-O3,2108370932,14.882671,True
bfs,-O3,1963027989,14.072326,True
bfs,-O3,1981034101,14.186566,True
bfs,-O3,1928176358,13.969836,True
bfs,-O3,1937219934,13.95467,True
bfs,-O3,1942652495,14.124227,True
bfs,-O3,1910472783,13.880168,True
bfs,-O3,1954638184,14.187538,True
bfs,-O3,1995962146,14.495094,True
bfs,-O3,1941881234,14.125986,True
histo,-O3,3535704578,25.591209,True
histo,-O3,2963114590,22.365462,True
histo,-O3,2994509261,22.492992,True
histo,-O3,2969590253,22.40218,True
histo,-O3,3417384473,24.984732,True
histo,-O3,3515416427,25.588537,True
histo,-O3,3629876520,26.094024,True
histo,-O3,2957678071,22.277656,True
histo,-O3,3457755956,25.243455,True
histo,-O3,3749508797,26.734105,True
mri-gridding,-O3,8283775146,55.80657,True
mri-gridding,-O3,8059801128,54.260358,True
mri-gridding,-O3,8586476958,58.118843,True
mri-gridding,-O3,9094580937,61.16853,True
mri-gridding,-O3,8700540305,58.859584,True
mri-gridding,-O3,9075027256,61.039605,True
mri-gridding,-O3,8376556169,56.629251,True
mri-gridding,-O3,7634679747,51.781407,True
mri-gridding,-O3,8705615130,58.74911,True
mri-gridding,-O3,8693538923,58.447353,True
